forecast_date,target,target_end_date,location,type,quantile,value
2021-07-18,1 wk ahead inc case,2021-07-24,11,point,NA,149.62080699999999
2021-07-18,1 wk ahead cum death,2021-07-24,11,point,NA,1148.8215
2021-07-18,1 wk ahead inc death,2021-07-24,12,point,NA,313.697853
2021-07-18,1 wk ahead inc case,2021-07-24,12,point,NA,39776.0193
2021-07-18,1 wk ahead cum death,2021-07-24,12,point,NA,38703.17399999999
2021-07-18,1 wk ahead inc death,2021-07-24,13,point,NA,105.30129000000001
2021-07-18,1 wk ahead inc case,2021-07-24,13,point,NA,5064.350350000001
2021-07-18,1 wk ahead cum death,2021-07-24,13,point,NA,21663.61400000001
2021-07-18,1 wk ahead inc death,2021-07-24,15,point,NA,3.5478723300000006
2021-07-18,1 wk ahead inc case,2021-07-24,15,point,NA,453.957486
2021-07-18,1 wk ahead cum death,2021-07-24,15,point,NA,526.5570700000001
2021-07-18,1 wk ahead inc death,2021-07-24,16,point,NA,7.5844166
2021-07-18,1 wk ahead inc case,2021-07-24,16,point,NA,637.902155
2021-07-18,1 wk ahead cum death,2021-07-24,16,point,NA,2180.5126999999998
2021-07-18,1 wk ahead inc death,2021-07-24,17,point,NA,66.3551535
2021-07-18,1 wk ahead inc case,2021-07-24,17,point,NA,2720.8570100000006
2021-07-18,1 wk ahead cum death,2021-07-24,17,point,NA,25857.658
2021-07-18,1 wk ahead inc death,2021-07-24,18,point,NA,35.8098274
2021-07-18,1 wk ahead inc case,2021-07-24,18,point,NA,1727.5145300000001
2021-07-18,1 wk ahead cum death,2021-07-24,18,point,NA,13975.775000000003
2021-07-18,1 wk ahead inc death,2021-07-24,19,point,NA,6.44160614
2021-07-18,1 wk ahead inc case,2021-07-24,19,point,NA,134.99899499999998
2021-07-18,1 wk ahead cum death,2021-07-24,19,point,NA,6164.6075
2021-07-18,1 wk ahead inc death,2021-07-24,20,point,NA,49.216051
2021-07-18,1 wk ahead inc case,2021-07-24,20,point,NA,1712.5573100000001
2021-07-18,1 wk ahead cum death,2021-07-24,20,point,NA,5249.883699999999
2021-07-18,1 wk ahead inc death,2021-07-24,21,point,NA,34.3264159
2021-07-18,1 wk ahead inc case,2021-07-24,21,point,NA,1584.6615
2021-07-18,1 wk ahead cum death,2021-07-24,21,point,NA,7318.327
2021-07-18,1 wk ahead inc death,2021-07-24,22,point,NA,78.98579600000001
2021-07-18,1 wk ahead inc case,2021-07-24,22,point,NA,6824.57258
2021-07-18,1 wk ahead cum death,2021-07-24,22,point,NA,10907.376
2021-07-18,1 wk ahead inc death,2021-07-24,23,point,NA,3.2829173000000003
2021-07-18,1 wk ahead inc case,2021-07-24,23,point,NA,15.8794151
2021-07-18,1 wk ahead cum death,2021-07-24,23,point,NA,885.2683999999999
2021-07-18,1 wk ahead inc death,2021-07-24,24,point,NA,5.32763105
2021-07-18,1 wk ahead inc case,2021-07-24,24,point,NA,150.321721
2021-07-18,1 wk ahead cum death,2021-07-24,24,point,NA,9785.454999999998
2021-07-18,1 wk ahead inc death,2021-07-24,25,point,NA,8.575970900000002
2021-07-18,1 wk ahead inc case,2021-07-24,25,point,NA,1077.28287
2021-07-18,1 wk ahead cum death,2021-07-24,25,point,NA,18023.632
2021-07-18,1 wk ahead inc death,2021-07-24,26,point,NA,9.377518499999999
2021-07-18,1 wk ahead inc case,2021-07-24,26,point,NA,49.443963999999994
2021-07-18,1 wk ahead cum death,2021-07-24,26,point,NA,21118.478999999996
2021-07-18,1 wk ahead inc death,2021-07-24,27,point,NA,5.74037031
2021-07-18,1 wk ahead inc case,2021-07-24,27,point,NA,220.729331
2021-07-18,1 wk ahead cum death,2021-07-24,27,point,NA,7733.831999999999
2021-07-18,1 wk ahead inc death,2021-07-24,28,point,NA,41.053694899999996
2021-07-18,1 wk ahead inc case,2021-07-24,28,point,NA,1700.3546999999999
2021-07-18,1 wk ahead cum death,2021-07-24,28,point,NA,7506.1365000000005
2021-07-18,1 wk ahead inc death,2021-07-24,29,point,NA,108.793869
2021-07-18,1 wk ahead inc case,2021-07-24,29,point,NA,7706.3258
2021-07-18,1 wk ahead cum death,2021-07-24,29,point,NA,9393.68
2021-07-18,1 wk ahead inc death,2021-07-24,30,point,NA,11.5683659
2021-07-18,1 wk ahead inc case,2021-07-24,30,point,NA,101.74418999999999
2021-07-18,1 wk ahead cum death,2021-07-24,30,point,NA,1702.6462999999999
2021-07-18,1 wk ahead inc death,2021-07-24,31,point,NA,12.3781693
2021-07-18,1 wk ahead inc case,2021-07-24,31,point,NA,223.52750099999997
2021-07-18,1 wk ahead cum death,2021-07-24,31,point,NA,2287.4653999999996
2021-07-18,1 wk ahead inc death,2021-07-24,32,point,NA,42.7933238
2021-07-18,1 wk ahead inc case,2021-07-24,32,point,NA,4029.3227399999996
2021-07-18,1 wk ahead cum death,2021-07-24,32,point,NA,5801.0537
